agent,observation_mode,episodes,nav_success,transitions_per_ep,dwell_steps,displacement,stagnation,goal_progress,backtrack_rate,first_action_entropy,n_transitions
random,partial,200,0.03,0.25,100.3,0.9139876482135608,0.306,0.0,0.3333333333333333,nan,50
greedy,partial,200,0.98,2.06,8.609223300970873,0.6838075171590083,0.5496628910463862,0.3640776699029126,0.0,nan,412
tabular_q,partial,200,0.01,0.02,92.75,0.7335471599384389,0.925,0.0,nan,nan,4
ppo,partial,200,0.24,5.395,38.40778498609824,1.1735206730416956,21.987986377745415,0.004633920296570899,0.8534090909090909,2.287016598220922,1079
random,full,200,0.025,0.235,81.8936170212766,0.9962616963240241,0.17659574468085107,0.0,0.5,nan,47
greedy,full,200,0.985,2.08,8.689903846153847,0.6780824559603772,0.726614010989011,0.35096153846153844,0.0,nan,416
tabular_q,full,200,0.15,15.8,9.894620253164558,0.1684496970369646,102.60677918424754,-0.010126582278481013,1.0,nan,3160
ppo,full,200,0.26,4.225,46.86508875739645,1.0512825115350766,18.561196581196583,0.001183431952662722,0.7739938080495357,2.3629568164176797,845
